number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning
3924,23/11/2023,2,24,30,37,43,45,35,"$2,672,397","$538,238","$1,706",$442,$50,$25,$10,2,1,217,457,"10,025","13,171","182,902"
3925,27/11/2023,16,19,20,26,33,40,23,"$1,198,481","$84,104","$2,090",$331,$50,$25,$10,1,3,83,286,"4,819","8,103","88,047"
3926,30/11/2023,3,32,34,38,41,42,17,"$1,151,815",-,"$1,603",$506,$50,$25,$10,1,-,104,180,"4,423","6,038","80,505"
3927,04/12/2023,6,18,26,31,37,38,22,-,-,"$1,965",$420,$50,$25,$10,-,-,92,235,"5,192","7,055","96,845"
3928,07/12/2023,10,16,25,29,42,44,48,"$2,915,532","$214,071","$1,814",$409,$50,$25,$10,1,4,133,322,"6,925","8,045","126,103"
3929,11/12/2023,9,12,21,22,44,47,31,-,"$126,398","$1,774",$333,$50,$25,$10,-,2,98,285,"5,612","7,814","108,022"
3930,14/12/2023,22,32,34,39,40,42,5,-,"$334,334","$2,705",$370,$50,$25,$10,-,1,85,339,"5,846","8,516","109,920"
3931,18/12/2023,12,15,16,23,24,38,44,-,"$148,395","$1,552",$406,$50,$25,$10,-,4,263,549,"14,926","15,990","266,116"
3932,21/12/2023,7,8,24,25,29,40,18,-,"$1,191,969","$1,688",$339,$50,$25,$10,-,12,616,"1,674","33,375","48,169","611,744"
3933,25/12/2023,11,12,19,23,25,41,47,"$665,967","$140,204",$873,$349,$50,$25,$10,2,2,221,302,"11,885","7,684","161,486"
3934,28/12/2023,13,17,18,24,37,41,15,-,"$133,724","$1,839",$412,$50,$25,$10,-,2,100,244,"5,009","7,196","93,999"
3935,01/01/2024,8,16,23,24,36,48,5,"$1,719,718","$25,370","$1,474",$255,$50,$25,$10,2,18,213,673,"11,069","17,962","191,385"
3936,05/01/2024,7,12,17,20,31,35,22,"$1,965,174","$73,010","$1,404",$292,$50,$25,$10,3,17,608,"1,598","30,291","41,419","525,873"
3937,08/01/2024,11,20,28,30,36,38,37,-,"$259,307","$1,766",$420,$50,$25,$10,-,1,101,232,"5,222","6,406","102,582"
3938,11/01/2024,2,9,10,43,45,46,13,"$1,504,496","$74,834","$1,326",$380,$50,$25,$10,2,5,194,370,"8,176","10,728","147,402"
3939,15/01/2024,24,25,26,28,30,35,4,"$1,295,233",-,"$1,410",$507,$50,$25,$10,1,-,133,202,"6,059","7,618","102,418"
3940,18/01/2024,5,28,30,37,38,41,43,-,"$178,761","$2,184",$456,$50,$25,$10,-,3,83,217,"5,107","6,104","94,677"
3941,22/01/2024,1,3,8,13,40,48,6,"$3,081,026","$38,504","$1,351",$199,$50,$25,$10,1,10,196,728,"10,494","17,684","172,323"
3942,25/01/2024,10,18,44,45,48,49,20,-,"$262,384","$1,961",$400,$50,$25,$10,-,1,92,246,"5,624","6,655","90,433"
3943,29/01/2024,20,22,24,28,40,49,27,"$1,586,297","$67,589","$1,491",$361,$50,$25,$10,2,6,187,422,"9,425","11,487","157,839"
3944,02/02/2024,2,27,29,36,44,48,12,"$5,974,351","$96,751","$1,988",$375,$50,$25,$10,1,13,435,"1,258","24,123","36,873","458,328"
3945,05/02/2024,14,17,20,25,28,37,13,-,"$54,964",$750,$339,$50,$25,$10,-,5,252,304,"5,836","7,839","103,717"
3946,08/02/2024,6,16,21,27,31,37,49,"$3,311,366","$46,924","$1,641",$370,$50,$25,$10,1,9,177,429,"9,673","10,548","167,959"
3947,12/02/2024,9,16,20,25,31,39,41,-,"$165,782","$1,983",$416,$50,$25,$10,-,2,115,299,"6,792","8,277","130,480"
