number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning,year,month,day_of_week,Odd,Even,1 to 9,10 to 19,20 to 29,30 to 39,40 to 49,Total,Average,SD,gap_mean,gap_sd,Total winners,consecutive numbers,count_repeated_numbers,repeated_numbers,repeated_numbers_1,repeated_numbers_2,repeated_numbers_3,repeated_numbers_4
3822,2022-12-01,3,12,20,39,40,47,18,2735946,164743,1784,313,50,25,10,1,2,127,396,6675,10358,123423,2022,12,Thursday,3,4,1,2,1,1,2,179,25.57,16.48,7.33,5.91,140982,1,0,0,0,0,0,0
3823,2022-12-05,5,6,7,25,28,35,8,1223608,42934,958,137,50,25,10,1,6,185,709,8457,16950,131249,2022,12,Monday,4,3,4,0,2,1,0,114,16.29,12.59,5.0,5.77,157557,2,0,0,0,0,0,0
3824,2022-12-08,1,6,21,35,37,46,33,0,0,2690,618,50,25,10,0,0,64,152,3992,5714,83609,2022,12,Thursday,5,2,2,0,1,3,1,179,25.57,16.83,7.5,4.92,93531,0,2,"[np.int64(35), np.int64(6)]",35,6,0,0
3825,2022-12-12,3,7,22,27,44,49,13,0,614409,1727,314,50,25,10,0,1,145,435,7799,11685,147471,2022,12,Monday,5,2,2,1,2,0,2,165,23.57,17.74,7.67,4.46,167536,0,0,0,0,0,0,0
3826,2022-12-15,4,12,17,19,24,44,20,5602898,80736,1530,277,50,25,10,1,7,254,767,14038,19857,246845,2022,12,Thursday,2,5,1,3,2,0,1,140,20.0,12.4,6.67,6.37,281769,0,1,[np.int64(44)],44,0,0,0
3827,2022-12-19,8,14,24,26,45,46,42,0,87048,1910,412,50,25,10,0,3,94,238,4840,6530,92542,2022,12,Monday,1,6,1,1,2,0,3,205,29.29,15.35,6.33,5.25,104247,1,1,[np.int64(24)],24,0,0,0
3828,2022-12-22,4,11,13,16,32,46,9,0,349496,2794,345,50,25,10,0,1,86,380,6511,12023,126353,2022,12,Thursday,3,4,2,3,0,1,1,131,18.71,14.9,7.0,5.77,145354,0,1,[np.int64(46)],46,0,0,0
3829,2022-12-26,3,10,31,32,44,47,41,5782800,121359,1630,474,50,25,10,1,5,256,481,11676,14706,216390,2022,12,Monday,4,3,1,1,0,2,3,208,29.71,17.03,7.33,6.67,243515,1,1,[np.int64(32)],32,0,0,0
3830,2022-12-29,12,18,25,28,30,36,48,1230798,129558,1246,305,50,25,10,1,2,143,319,7246,8110,119087,2022,12,Thursday,1,6,0,2,2,2,1,197,28.14,11.78,6.0,3.21,134908,0,0,0,0,0,0,0
3831,2023-01-02,1,13,15,32,41,47,11,714588,100293,2111,431,50,25,10,2,3,98,262,5229,8475,99647,2023,1,Monday,6,1,1,3,0,1,2,160,22.86,17.19,7.67,5.19,113716,0,0,0,0,0,0,0
3832,2023-01-06,12,22,30,32,42,49,8,5521126,68374,1412,304,50,25,10,1,17,566,1438,24338,34930,427413,2023,1,Friday,1,6,1,1,1,2,2,195,27.86,14.99,6.83,2.97,488703,0,1,[np.int64(32)],32,0,0,0
3833,2023-01-09,1,3,13,15,22,43,46,0,62167,1336,350,50,25,10,0,4,128,267,6968,6100,115534,2023,1,Monday,5,2,2,2,1,0,2,143,20.43,17.94,7.5,6.7,129001,0,1,[np.int64(22)],22,0,0,0
3834,2023-01-12,2,6,8,28,31,37,48,2895756,360966,1199,363,50,25,10,1,1,207,373,10795,10582,173241,2023,1,Thursday,2,5,3,0,1,2,1,160,22.86,17.63,7.67,6.24,195200,0,0,0,0,0,0,0
3835,2023-01-16,15,22,23,36,40,42,20,1405462,73972,2055,338,50,25,10,1,4,99,329,5497,8856,105894,2023,1,Monday,2,5,0,1,3,1,2,198,28.29,10.78,4.5,4.03,120680,1,0,0,0,0,0,0
